bl_accepted,order,n_records,mean_dist_centroid_km,mean_dist_edge_km,pct_inside_range
Tephrodornis virgatus,Passeriformes,1,914.2022313952291,0,100
Tetrax tetrax,Otidiformes,1,2409.2066906813875,2163.1307439614484,0
Tragopan caboti,Galliformes,1,506.1793422429467,84.72752833001867,0
Tragopan temminckii,Galliformes,1,883.9864886640778,201.83260023496692,0
Treron curvirostra,Columbiformes,1,1135.104970570936,383.2864722498757,0
Treron sphenurus,Columbiformes,1,1180.9706600026407,598.8310531524436,0
Tringa stagnatilis,Charadriiformes,1,2669.5033386802734,2214.9758493334944,0
Tyto longimembris,Strigiformes,1,1338.2816527883697,0,100
Urile pelagicus,Suliformes,1,860.868999054415,801.0170075671853,0
Vanellus cinereus,Charadriiformes,1,3297.9801391630176,1124.2239901522532,0
Vanellus indicus,Charadriiformes,1,947.9447713852408,778.9596253146256,0
Vanellus vanellus,Charadriiformes,1,2855.8399352015795,2080.5692882219605,0
Zapornia bicolor,Gruiformes,1,1174.4345631862486,508.4232943169928,0
