species,species_canon,bl_accepted,bl_match_type
Pernis ptilorhynchus,Pernis ptilorhynchus,Pernis ptilorhynchus,accepted
Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius,accepted
Phalaropus lobatus,Phalaropus lobatus,Phalaropus lobatus,accepted
Phoebastria immutabilis,Phoebastria immutabilis,Phoebastria immutabilis,accepted
Phoenicopterus roseus,Phoenicopterus roseus,Phoenicopterus roseus,accepted
Phoenicurus erythronotus,Phoenicurus erythronotus,Phoenicurus erythronotus,accepted
Phoenicurus frontalis,Phoenicurus frontalis,Phoenicurus frontalis,accepted
Phoenicurus leucocephalus,Phoenicurus leucocephalus,Phoenicurus leucocephalus,accepted
Phoenicurus ochruros,Phoenicurus ochruros,Phoenicurus ochruros,accepted
Phoenicurus schisticeps,Phoenicurus schisticeps,Phoenicurus schisticeps,accepted
Phyllergates cucullatus,Phyllergates cucullatus,Phyllergates cucullatus,accepted
Phylloscopus affinis,Phylloscopus affinis,Phylloscopus affinis,accepted
Phylloscopus borealoides,Phylloscopus borealoides,Phylloscopus borealoides,accepted
Phylloscopus burkii,Phylloscopus burkii,Phylloscopus burkii,accepted
Phylloscopus cantator,Phylloscopus cantator,Phylloscopus cantator,accepted
Phylloscopus castaniceps,Phylloscopus castaniceps,Phylloscopus castaniceps,accepted
